place,movie_title,rating,year,star_cast
1,The Shawshank Redemption,9.233807254585242,1994,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman"
2,The Godfather,9.155795422827639,1972,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino"
3,The Dark Knight,8.98509805446809,2008,"Christopher Nolan (dir.), Christian Bale, Heath Ledger"
4,The Godfather: Part II,8.98386962382605,1974,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro"
5,12 Angry Men,8.947337809482658,1957,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb"
6,Schindler's List,8.935094668950807,1993,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes"
7,The Lord of the Rings: The Return of the King,8.920740022489651,2003,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen"
8,Pulp Fiction,8.850900043441882,1994,"Quentin Tarantino (dir.), John Travolta, Uma Thurman"
9,The Lord of the Rings: The Fellowship of the Ring,8.803405488491403,2001,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
1," Il buono, il brutto, il cattivo",8.793881570281913,1966,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach"
11,Forrest Gump,8.76721645601354,1994,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright"
12,Fight Club,8.750234079677616,1999,"David Fincher (dir.), Brad Pitt, Edward Norton"
13,Inception,8.732887982123787,2010,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt"
14,The Lord of the Rings: The Two Towers,8.727577244062848,2002,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
15,The Empire Strikes Back,8.70176010075839,1980,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford"
16,The Matrix,8.671116383973743,1999,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne"
17,Goodfellas,8.651280840738016,1990,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta"
18,One Flew Over the Cuckoo's Nest,8.64139533714702,1975,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher"
19,Se7en,8.60389417048204,1995,"David Fincher (dir.), Morgan Freeman, Brad Pitt"
20,Shichinin no samurai,8.599224307413667,1954,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura"
21,It's a Wonderful Life,8.596981634324576,1946,"Frank Capra (dir.), James Stewart, Donna Reed"
22,The Silence of the Lambs,8.587998367462582,1991,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins"
23,Cidade de Deus,8.578963349111989,2002,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino"
24,Saving Private Ryan,8.577535411132475,1998,"Steven Spielberg (dir.), Tom Hanks, Matt Damon"
25,La vita è bella,8.566060405342311,1997,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi"
26,The Green Mile,8.559628788970988,1999,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan"
27,Interstellar,8.55483575513749,2014,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway"
28,Star Wars,8.554486296783107,1977,"George Lucas (dir.), Mark Hamill, Harrison Ford"
29,Terminator 2: Judgment Day,8.534939031464944,1991,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton"
30,Back to the Future,8.517969161450774,1985,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd"
31,Sen to Chihiro no kamikakushi,8.515381893317013,2001,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette"
32,Psycho,8.50873249824614,1960,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh"
33,The Pianist,8.50449898544185,2002,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann"
34,Léon,8.500950744062882,1994,"Luc Besson (dir.), Jean Reno, Gary Oldman"
35,Gisaengchung,8.495539253807179,2019,"Bong Joon Ho (dir.), Song Kang-ho, Sun-kyun Lee"
36,The Lion King,8.488466547935333,1994,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons"
37,Gladiator,8.485247155112784,2000,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix"
38,American History X,8.484759585480596,1998,"Tony Kaye (dir.), Edward Norton, Edward Furlong"
39,The Usual Suspects,8.476721330206313,1995,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne"
40,The Departed,8.474964953344136,2006,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon"
41,The Prestige,8.467917084900462,2006,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman"
42,Casablanca,8.46571707500824,1942,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman"
43,Whiplash,8.459725087493265,2014,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons"
44,The Intouchables,8.454115561221561,2011,"Olivier Nakache (dir.), François Cluzet, Omar Sy"
45,Modern Times,8.449986112262314,1936,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard"
46,Seppuku,8.448797149459166,1962,"Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama"
47,Once Upon a Time in the West,8.448095334792491,1968,"Sergio Leone (dir.), Henry Fonda, Charles Bronson"
48,Hotaru no haka,8.447202097855678,1988,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi"
49,Top Gun: Maverick,8.439909861723942,2022,"Joseph Kosinski (dir.), Tom Cruise, Jennifer Connelly"
50,Rear Window,8.437511056426892,1954,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly"
51,Alien,8.435530699493409,1979,"Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt"
52,City Lights,8.43439848390286,1931,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill"
53,Nuovo Cinema Paradiso,8.42898797422411,1988,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale"
54,Memento,8.42626949587538,2000,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss"
55,Apocalypse Now,8.425379626034784,1979,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando"
56,Raiders of the Lost Ark,8.411905620636356,1981,"Steven Spielberg (dir.), Harrison Ford, Karen Allen"
57,Django Unchained,8.402381462444035,2012,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz"
58,WALL·E,8.392479648048337,2008,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight"
59,The Lives of Others,8.38656476843024,2006,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck"
60,Sunset Blvd,8.383026299536338,1950,"Billy Wilder (dir.), William Holden, Gloria Swanson"
61,Paths of Glory,8.37072436899954,1957,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker"
62,The Shining,8.36803318207068,1980,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall"
63,The Great Dictator,8.366549156063877,1940,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard"
64,Witness for the Prosecution,8.356756169073183,1957,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich"
65,Avengers: Infinity War,8.354935002599872,2018,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth"
66,Aliens,8.344594063433032,1986,"James Cameron (dir.), Sigourney Weaver, Michael Biehn"
67,American Beauty,8.338442726849552,1999,"Sam Mendes (dir.), Kevin Spacey, Annette Bening"
68,Dr Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.334068064865209,1964,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott"
69,The Dark Knight Rises,8.328851912225918,2012,"Christopher Nolan (dir.), Christian Bale, Tom Hardy"
70,Spider-Man: Into the Spider-Verse,8.327860507941695,2018,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson"
71,Joker,8.320264653655613,2019,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro"
72,Oldeuboi,8.319909624706625,2003,"Park Chan-wook (dir.), Choi Min-sik, Yoo Ji-Tae"
73,Braveheart,8.315624060290496,1995,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau"
74,Amadeus,8.315435873165141,1984,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce"
75,Toy Story,8.314348739104192,1995,"John Lasseter (dir.), Tom Hanks, Tim Allen"
76,Coco,8.312174874600037,2017,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal"
77,Das Boot,8.311735470296542,1981,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer"
78,Inglourious Basterds,8.310488302179564,2009,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger"
79,Mononoke-hime,8.303859042451375,1997,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida"
80,Once Upon a Time in America,8.30114875311338,1984,"Sergio Leone (dir.), Robert De Niro, James Woods"
81,Avengers: Endgame,8.300691550350502,2019,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans"
82,Good Will Hunting,8.286332952482953,1997,"Gus Van Sant (dir.), Robin Williams, Matt Damon"
83,Requiem for a Dream,8.277282022193786,2000,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto"
84,Toy Story 3,8.276836452702558,2010,"Lee Unkrich (dir.), Tom Hanks, Tim Allen"
85,Singin' in the Rain,8.274046219200237,1952,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor"
86,Kimi no na wa,8.27396415787898,2016,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi"
87,3 Idiots,8.268492204513137,2009,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan"
88,Star Wars: Episode VI - Return of the Jedi,8.268298883913713,1983,"Richard Marquand (dir.), Mark Hamill, Harrison Ford"
89,2001: A Space Odyssey,8.265947283375066,1968,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood"
90,Reservoir Dogs,8.264992607839199,1992,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth"
91,Eternal Sunshine of the Spotless Mind,8.264839417780527,2004,"Michel Gondry (dir.), Jim Carrey, Kate Winslet"
92,Tengoku to jigoku,8.262635811084753,1963,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada"
93,Citizen Kane,8.258374860930184,1941,"Orson Welles (dir.), Orson Welles, Joseph Cotten"
94,Capharnaüm,8.257889031751132,2018,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw"
95,Lawrence of Arabia,8.256662047887978,1962,"David Lean (dir.), Peter O'Toole, Alec Guinness"
96,Jagten,8.255023586440032,2012,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen"
97,M - Eine Stadt sucht einen Mörder,8.25450208307209,1931,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann"
98,North by Northwest,8.254132131256846,1959,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint"
99,Everything Everywhere All at Once,8.249292918784683,2022,"Dan Kwan (dir.), Michelle Yeoh, Stephanie Hsu"
10, Vertigo,8.248246523442788,1958,"Alfred Hitchcock (dir.), James Stewart, Kim Novak"
101,Le fabuleux destin d'Amélie Poulain,8.246885127784237,2001,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz"
102,A Clockwork Orange,8.245160628193313,1971,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee"
103,Idi i smotri,8.243082783259565,1985,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova"
104,Full Metal Jacket,8.24034730423654,1987,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey"
105,Double Indemnity,8.238236477179298,1944,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck"
106,The Apartment,8.237209070755746,1960,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine"
107,Scarface,8.235086107170995,1983,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer"
108,Ikiru,8.229501339323784,1952,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko"
109,To Kill a Mockingbird,8.229178555813371,1962,"Robert Mulligan (dir.), Gregory Peck, John Megna"
110,The Sting,8.229147862379353,1973,"George Roy Hill (dir.), Paul Newman, Robert Redford"
111,Taxi Driver,8.228614506645892,1976,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster"
112,LA Confidential,8.225368950242272,1997,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe"
113,Up,8.224280662953872,2009,"Pete Docter (dir.), Edward Asner, Jordan Nagai"
114,Hamilton,8.223311355261094,2020,"Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo"
115,Heat,8.223033143997434,1995,"Michael Mann (dir.), Al Pacino, Robert De Niro"
116,Spider-Man: No Way Home,8.222367825047773,2021,"Jon Watts (dir.), Tom Holland, Zendaya"
117,Metropolis,8.221065064917433,1927,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel"
118,Snatch,8.22065576534484,2000,"Guy Ritchie (dir.), Jason Statham, Brad Pitt"
119,Jodaeiye Nader az Simin,8.220555975641082,2011,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami"
120,Die Hard,8.220375256596093,1988,"John McTiernan (dir.), Bruce Willis, Alan Rickman"
121,Incendies,8.219263802523116,2010,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin"
122,Indiana Jones and the Last Crusade,8.218410078491413,1989,"Steven Spielberg (dir.), Harrison Ford, Sean Connery"
123,Ladri di biciclette,8.217651606174035,1948,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola"
124,1917,8.212323080087577,2019,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay"
125,Taare Zameen Par,8.206160989537983,2007,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan"
126,Der Untergang,8.204795648745819,2004,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara"
127,Per qualche dollaro in più,8.203554335441668,1965,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef"
128,Batman Begins,8.202468390410184,2005,"Christopher Nolan (dir.), Christian Bale, Michael Caine"
129,Dangal,8.197911172962502,2016,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar"
130,The Kid,8.19481279527906,1921,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance"
131,Some Like It Hot,8.19152409873179,1959,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis"
132,The Father,8.183898619276222,2020,"Florian Zeller (dir.), Anthony Hopkins, Olivia Colman"
133,All About Eve,8.180108506898312,1950,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter"
134,Green Book,8.174349729535836,2018,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali"
135,The Wolf of Wall Street,8.171140543110733,2013,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill"
136,Judgment at Nuremberg,8.16818217534427,1961,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster"
137,Unforgiven,8.164960551651074,1992,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman"
138,Casino,8.163644367942963,1995,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone"
139,Pan's Labyrinth,8.163588930625753,2006,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil"
140,Ran,8.163467906896297,1985,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao"
141,There Will Be Blood,8.154696006700437,2007,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano"
142,The Sixth Sense,8.153662871322402,1999,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment"
143,A Beautiful Mind,8.153250919665446,2001,"Ron Howard (dir.), Russell Crowe, Ed Harris"
144,Monty Python and the Holy Grail,8.15310282705582,1975,"Terry Gilliam (dir.), Graham Chapman, John Cleese"
145,The Truman Show,8.15114375699423,1998,"Peter Weir (dir.), Jim Carrey, Ed Harris"
146,Yôjinbô,8.148800312119564,1961,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno"
147,The Treasure of the Sierra Madre,8.14812489732723,1948,"John Huston (dir.), Humphrey Bogart, Walter Huston"
148,Rashômon,8.143184902177373,1950,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô"
149,The Great Escape,8.142550637605847,1963,"John Sturges (dir.), Steve McQueen, James Garner"
150,Shutter Island,8.14231353825149,2010,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer"
151,Jurassic Park,8.137729824911977,1993,"Steven Spielberg (dir.), Sam Neill, Laura Dern"
152,Kill Bill: Vol 1,8.137261768785187,2003,"Quentin Tarantino (dir.), Uma Thurman, David Carradine"
153,No Country for Old Men,8.135101112848853,2007,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem"
154,The Elephant Man,8.131508952191675,1980,"David Lynch (dir.), Anthony Hopkins, John Hurt"
155,Finding Nemo,8.131221613693386,2003,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres"
156,Raging Bull,8.130242192563816,1980,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty"
157,Chinatown,8.129229569666727,1974,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway"
158,Gone with the Wind,8.127245745750594,1939,"Victor Fleming (dir.), Clark Gable, Vivien Leigh"
159,V for Vendetta,8.126333606005275,2005,"James McTeigue (dir.), Hugo Weaving, Natalie Portman"
160,Inside Out,8.12487757396016,2015,"Pete Docter (dir.), Amy Poehler, Bill Hader"
161,The Thing,8.124261395786537,1982,"John Carpenter (dir.), Kurt Russell, Wilford Brimley"
162,"Lock, Stock and Two Smoking Barrels",8.123772808409209,1998,"Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher"
163,Dial M for Murder,8.119184193743616,1954,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly"
164,El secreto de sus ojos,8.118304642572634,2009,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil"
165,The Bridge on the River Kwai,8.11502639895332,1957,"David Lean (dir.), William Holden, Alec Guinness"
166,Hauru no ugoku shiro,8.114444518269371,2004,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura"
167,"Three Billboards Outside Ebbing, Missouri",8.111806340893493,2017,"Martin McDonagh (dir.), Frances McDormand, Woody Harrelson"
168,Trainspotting,8.11172261129096,1996,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner"
169,Gran Torino,8.105684773353545,2008,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang"
170,Warrior,8.105218285628439,2011,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte"
171,Fargo,8.103575236583124,1996,"Joel Coen (dir.), William H. Macy, Frances McDormand"
172,Tonari no Totoro,8.095596303582637,1988,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka"
173,Prisoners,8.094443787077005,2013,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal"
174,Million Dollar Baby,8.09012962013811,2004,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood"
175,The Gold Rush,8.088042797647564,1925,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain"
176,Blade Runner,8.087251136982173,1982,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer"
177,Catch Me If You Can,8.08583562996885,2002,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks"
178,On the Waterfront,8.0850309427329,1954,"Elia Kazan (dir.), Marlon Brando, Karl Malden"
179,The Third Man,8.082951249183868,1949,"Carol Reed (dir.), Orson Welles, Joseph Cotten"
180,Bacheha-Ye aseman,8.08151485205633,1997,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian"
181,Ben-Hur,8.078999132660513,1959,"William Wyler (dir.), Charlton Heston, Jack Hawkins"
182,The General,8.078291167321106,1926,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack"
183,12 Years a Slave,8.078068797205763,2013,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams"
184,Smultronstället,8.077488945238533,1957,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson"
185,Gone Girl,8.077415319276522,2014,"David Fincher (dir.), Ben Affleck, Rosamund Pike"
186,Before Sunrise,8.07618688615465,1995,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy"
187,The Deer Hunter,8.076086306758494,1978,"Michael Cimino (dir.), Robert De Niro, Christopher Walken"
188,Harry Potter and the Deathly Hallows: Part 2,8.075605923351834,2011,"David Yates (dir.), Daniel Radcliffe, Emma Watson"
189,In the Name of the Father,8.074654594393746,1993,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite"
190,The Grand Budapest Hotel,8.072149475696138,2014,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham"
191,Mr Smith Goes to Washington,8.071658265470644,1939,"Frank Capra (dir.), James Stewart, Jean Arthur"
192,Le salaire de la peur,8.070821220849552,1953,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel"
193,Sherlock Jr,8.070159539391991,1924,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire"
194,Barry Lyndon,8.069055725076291,1975,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson"
195,Salinui chueok,8.068215243849352,2003,"Bong Joon Ho (dir.), Song Kang-ho, Kim Sang-kyung"
196,Room,8.068011767137772,2015,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay"
197,Hacksaw Ridge,8.066822092048346,2016,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington"
198,Klaus,8.066237450623108,2019,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons"
199,Det sjunde inseglet,8.066204091327302,1957,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand"
200,Relatos salvajes,8.06492606371341,2014,"Damián Szifron (dir.), Darío Grandinetti, María Marull"
201,The Big Lebowski,8.063119570243597,1998,"Joel Coen (dir.), Jeff Bridges, John Goodman"
202,How to Train Your Dragon,8.062136062693106,2010,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler"
203,Mad Max: Fury Road,8.0616297223286,2015,"George Miller (dir.), Tom Hardy, Charlize Theron"
204,Mary and Max,8.060365384426229,2009,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman"
205,"Monsters, Inc",8.058224527455796,2001,"Pete Docter (dir.), Billy Crystal, John Goodman"
206,Jaws,8.057764165235398,1975,"Steven Spielberg (dir.), Roy Scheider, Robert Shaw"
207,La passion de Jeanne d'Arc,8.055639120527998,1928,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain"
208,Pather Panchali,8.05384914957719,1955,"Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee"
209,Hotel Rwanda,8.053282740409484,2004,"Terry George (dir.), Don Cheadle, Sophie Okonedo"
210,Dead Poets Society,8.051981528426927,1989,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard"
211,Tôkyô monogatari,8.051959282779283,1953,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama"
212,Platoon,8.04772302777375,1986,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger"
213,Rocky,8.047269609935366,1976,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire"
214,Ford v Ferrari,8.0454540911364,2019,"James Mangold (dir.), Matt Damon, Christian Bale"
215,Stand by Me,8.042359232467467,1986,"Rob Reiner (dir.), Wil Wheaton, River Phoenix"
216,The Terminator,8.041420492893621,1984,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton"
217,Rush,8.039672454938236,2013,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth"
218,Spotlight,8.03929484123023,2015,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton"
219,Into the Wild,8.038051436727494,2007,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn"
220,Network,8.037395318841853,1976,"Sidney Lumet (dir.), Faye Dunaway, William Holden"
221,The Wizard of Oz,8.036079389008528,1939,"Victor Fleming (dir.), Judy Garland, Frank Morgan"
222,Logan,8.035184176902662,2017,"James Mangold (dir.), Hugh Jackman, Patrick Stewart"
223,Groundhog Day,8.032873771716776,1993,"Harold Ramis (dir.), Bill Murray, Andie MacDowell"
224,Ratatouille,8.031173309321648,2007,"Brad Bird (dir.), Brad Garrett, Lou Romano"
225,The Exorcist,8.028564875704348,1973,"William Friedkin (dir.), Ellen Burstyn, Max von Sydow"
226,Before Sunset,8.028043485846192,2004,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy"
227,The Best Years of Our Lives,8.025957906940816,1946,"William Wyler (dir.), Myrna Loy, Dana Andrews"
228,The Incredibles,8.0253481541043,2004,"Brad Bird (dir.), Craig T. Nelson, Samuel L. Jackson"
229,To Be or Not to Be,8.02468398028291,1942,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny"
230,La battaglia di Algeri,8.02307987025355,1966,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin"
231,Rebecca,8.022939026716296,1940,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine"
232,The Grapes of Wrath,8.022386463240743,1940,"John Ford (dir.), Henry Fonda, Jane Darwell"
233,Hachi: A Dog's Tale,8.021769847041583,2009,"Lasse Hallström (dir.), Richard Gere, Joan Allen"
234,Cool Hand Luke,8.021666262033573,1967,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy"
235,Amores perros,8.021084755838446,2000,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal"
236,Pirates of the Caribbean: The Curse of the Black Pearl,8.01790641753954,2003,"Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush"
237,Les quatre cents coups,8.016427978611786,1959,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy"
238,Dersu Uzala,8.016219511723342,1975,"Akira Kurosawa (dir.), Maksim Munzuk, Yuriy Solomin"
239,La haine,8.016007966923372,1995,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé"
240,Persona,8.015943711943583,1966,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann"
241,Babam ve Oglum,8.015639910237837,2005,"Cagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan"
242,Life of Brian,8.015083646579797,1979,"Terry Jones (dir.), Graham Chapman, John Cleese"
243,The Sound of Music,8.013751904296987,1965,"Robert Wise (dir.), Julie Andrews, Christopher Plummer"
244,It Happened One Night,8.013616037224685,1934,"Frank Capra (dir.), Clark Gable, Claudette Colbert"
245,Ah-ga-ssi,8.009241933229509,2016,"Park Chan-wook (dir.), Kim Min-hee, Ha Jung-woo"
246,Aladdin,8.007108089439546,1992,"Ron Clements (dir.), Scott Weinger, Robin Williams"
247,Gandhi,8.007059492043126,1982,"Richard Attenborough (dir.), Ben Kingsley, John Gielgud"
248,The Help,8.004874963709952,2011,"Tate Taylor (dir.), Emma Stone, Viola Davis"
249,Beauty and the Beast,8.003484319418533,1991,"Gary Trousdale (dir.), Paige O'Hara, Robby Benson"
250,Dances with Wolves,8.00176172790274,1990,"Kevin Costner (dir.), Kevin Costner, Mary McDonnell"
